id,created_at,tweet
7.21994E+17,4/18/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/iQrj0g82tQ'
7.21894E+17,4/18/16 2:51,"Autorizada a instala\xc3\xa7\xc3\xa3o do processo contra Dilma no Senado, ap\xc3\xb3s 6h de vota\xc3\xa7\xc3\xa3o. 367 votos favor\xc3\xa1veis e 137contr\xc3\xa1rios https://t.co/6rVm5XxKAa'"
7.2189E+17,4/18/16 2:37,Sergipe: Sim: 75%/6 votos. N\xc3\xa3o: 25%/2 votos. Ao vivo: https://t.co/nH9f8DcxMS'
7.21889E+17,4/18/16 2:31,Pernambuco: Sim: 72%/18 votos. N\xc3\xa3o: 24%/6 votos. Absten\xc3\xa7\xc3\xa3o: 4%/1 voto. Ao vivo: https://t.co/nH9f8DcxMS'
7.21883E+17,4/18/16 2:07,Foram registrados 342 votos favor\xc3\xa1veis para o prosseguimento do processo do impeachment da presidente Dilma Rousseff https://t.co/ZgpSeBG991'
7.21882E+17,4/18/16 2:03,Para\xc3\xadba: Sim: 75%/9 votos. N\xc3\xa3o: 25%/3 votos. Ao vivo: https://t.co/nH9f8DcxMS'
7.21879E+17,4/18/16 1:50,"Bahia: Sim: 38,46%/15 votos.N\xc3\xa3o: 56,41%/22 votos. Absten\xc3\xa7\xc3\xa3o: 5,13%/2 votos. Ao vivo: https://t.co/nH9f8DcxMS'"
7.21873E+17,4/18/16 1:26,"Minas Gerais:  Sim: 77,36%/41 votos. N\xc3\xa3o: 22,64%/12 votos. Ao vivo: https://t.co/nH9f8DcxMS'"
7.2186E+17,4/18/16 0:36,"Rio Grande do Norte: Sim: 87,50%/7 votos. N\xc3\xa3o: 12,50%/1 voto. Ao vivo: https://t.co/nH9f8DcxMS'"
7.21859E+17,4/18/16 0:32,Piau\xc3\xad: Sim: 50%/5 votos. N\xc3\xa3o: 50%/5 votos. Ao vivo: https://t.co/nH9f8DcxMS'
7.21858E+17,4/18/16 0:29,"Esp\xc3\xadrito Santo: Sim: 80,00%/8 votos. N\xc3\xa3o: 20,00%/2 votos. Ao vivo: https://t.co/nH9f8DcxMS'"
7.21855E+17,4/18/16 0:17,"Rio de Janeiro: Sim: 73,91%/34 votos. N\xc3\xa3o: 23,91%/11 votos. Falta: 2,17%/1 falta. Ao vivo: https://t.co/nH9f8DcxMS'"
